rack_id,x_mm,y_mm,yaw_deg,pixel_x_frac,pixel_y_frac,screen_rotate_deg
1,3395.0,5557.5,0.0,0.00759,0.03000,270.0
2,3185.0,5557.5,0.0,0.00759,0.09000,270.0
3,2975.0,5557.5,0.0,0.00759,0.15000,270.0
4,2765.0,5557.5,0.0,0.00759,0.21000,270.0
5,2555.0,5557.5,0.0,0.00759,0.27000,270.0
6,2345.0,5557.5,0.0,0.00759,0.33000,270.0
7,2135.0,5557.5,0.0,0.00759,0.39000,270.0
8,3395.0,4242.5,180.0,0.24241,0.03000,90.0
9,3185.0,4242.5,180.0,0.24241,0.09000,90.0
10,2975.0,4242.5,180.0,0.24241,0.15000,90.0
11,2765.0,4242.5,180.0,0.24241,0.21000,90.0
12,2555.0,4242.5,180.0,0.24241,0.27000,90.0
13,2345.0,4242.5,180.0,0.24241,0.33000,90.0
14,2135.0,4242.5,180.0,0.24241,0.39000,90.0
15,3395.0,4157.5,0.0,0.25759,0.03000,270.0
16,3185.0,4157.5,0.0,0.25759,0.09000,270.0
17,2975.0,4157.5,0.0,0.25759,0.15000,270.0
18,2765.0,4157.5,0.0,0.25759,0.21000,270.0
19,2555.0,4157.5,0.0,0.25759,0.27000,270.0
20,2345.0,4157.5,0.0,0.25759,0.33000,270.0
21,2135.0,4157.5,0.0,0.25759,0.39000,270.0
22,3395.0,2842.5,180.0,0.49241,0.03000,90.0
23,3185.0,2842.5,180.0,0.49241,0.09000,90.0
24,2975.0,2842.5,180.0,0.49241,0.15000,90.0
25,2765.0,2842.5,180.0,0.49241,0.21000,90.0
26,2555.0,2842.5,180.0,0.49241,0.27000,90.0
27,2345.0,2842.5,180.0,0.49241,0.33000,90.0
28,2135.0,2842.5,180.0,0.49241,0.39000,90.0
29,3395.0,2757.5,0.0,0.50759,0.03000,270.0
30,3185.0,2757.5,0.0,0.50759,0.09000,270.0
31,2975.0,2757.5,0.0,0.50759,0.15000,270.0
32,2765.0,2757.5,0.0,0.50759,0.21000,270.0
33,2555.0,2757.5,0.0,0.50759,0.27000,270.0
34,2345.0,2757.5,0.0,0.50759,0.33000,270.0
35,2135.0,2757.5,0.0,0.50759,0.39000,270.0
36,3395.0,1442.5,180.0,0.74241,0.03000,90.0
37,3185.0,1442.5,180.0,0.74241,0.09000,90.0
38,2975.0,1442.5,180.0,0.74241,0.15000,90.0
39,2765.0,1442.5,180.0,0.74241,0.21000,90.0
40,2555.0,1442.5,180.0,0.74241,0.27000,90.0
41,2345.0,1442.5,180.0,0.74241,0.33000,90.0
42,2135.0,1442.5,180.0,0.74241,0.39000,90.0
43,3395.0,1357.5,0.0,0.75759,0.03000,270.0
44,3185.0,1357.5,0.0,0.75759,0.09000,270.0
45,2975.0,1357.5,0.0,0.75759,0.15000,270.0
46,2765.0,1357.5,0.0,0.75759,0.21000,270.0
47,2555.0,1357.5,0.0,0.75759,0.27000,270.0
48,2345.0,1357.5,0.0,0.75759,0.33000,270.0
49,2135.0,1357.5,0.0,0.75759,0.39000,270.0
50,3395.0,42.5,180.0,0.99241,0.03000,90.0
51,3185.0,42.5,180.0,0.99241,0.09000,90.0
52,2975.0,42.5,180.0,0.99241,0.15000,90.0
53,2765.0,42.5,180.0,0.99241,0.21000,90.0
54,2555.0,42.5,180.0,0.99241,0.27000,90.0
55,2345.0,42.5,180.0,0.99241,0.33000,90.0
56,2135.0,42.5,180.0,0.99241,0.39000,90.0
